round,lr,weight_decay,momentum,model,norm,independence,balancement,loss,accuracy
25,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.5169684511502584,0.10553333333333333
25,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.514157254695893,0.0998
26,0.1,0.001,0,ResNet50,BN,iid,balanced,1.1720411884784698,0.6161666666666666
26,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
26,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
26,0.1,0.001,0,ResNet50,GN,iid,balanced,1.9102298302173615,0.293
26,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.4072081908543908,0.1099
26,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.4946640634536745,0.10046666666666666
27,0.1,0.001,0,ResNet50,BN,iid,balanced,1.2228920163710912,0.6136
27,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
27,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
27,0.1,0.001,0,ResNet50,GN,iid,balanced,1.8973902981917063,0.2965
27,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.481669312508901,0.1024
27,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.8079844077428184,0.10000000000000002
28,0.1,0.001,0,ResNet50,BN,iid,balanced,1.1722766908009847,0.6305666666666667
28,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
28,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,2.697088418006897,0.10000000000000002
28,0.1,0.001,0,ResNet50,GN,iid,balanced,1.8991389342149099,0.29396666666666665
28,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.432693744564056,0.10253333333333332
28,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.6033894157409665,0.10023333333333333
29,0.1,0.001,0,ResNet50,BN,iid,balanced,1.1337512576580049,0.6416
29,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
29,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
29,0.1,0.001,0,ResNet50,GN,iid,balanced,1.8840018630027773,0.3019
29,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.5279297383944193,0.10616666666666667
29,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.9280214015642803,0.10000000000000002
30,0.1,0.001,0,ResNet50,BN,iid,balanced,1.0760825071732203,0.6576666666666667
30,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
30,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
30,0.1,0.001,0,ResNet50,GN,iid,balanced,1.8747374031225839,0.305
30,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.4284794572512305,0.11446666666666667
30,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.67810640891393,0.10000000000000002
31,0.1,0.001,0,ResNet50,BN,iid,balanced,1.083246547182401,0.6619
31,0.1,0.001,0,ResNet50,BN,noniid,balanced,2.5365091943740845,0.10000000000000002
31,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
31,0.1,0.001,0,ResNet50,GN,iid,balanced,1.861838563903173,0.3084333333333333
31,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.3920914943377176,0.10260000000000001
31,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.950750487645467,0.10000000000000002
32,0.1,0.001,0,ResNet50,BN,iid,balanced,1.0920474251111347,0.6676333333333334
32,0.1,0.001,0,ResNet50,BN,noniid,balanced,3.254176986217499,0.1002
32,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,2.531501395702362,0.10000000000000002
32,0.1,0.001,0,ResNet50,GN,iid,balanced,1.8694035328388214,0.30726666666666663
